Date,Ticker,Price
2/26/2016,XST.TO,51.92
2/29/2016,XST.TO,51.88
3/1/2016,XST.TO,52.69
3/2/2016,XST.TO,52.39
3/3/2016,XST.TO,52.14
3/4/2016,XST.TO,51.8
3/7/2016,XST.TO,52.26
3/8/2016,XST.TO,52.8
3/9/2016,XST.TO,52.49
3/10/2016,XST.TO,51.81
3/11/2016,XST.TO,52.25
3/14/2016,XST.TO,52.29
3/15/2016,XST.TO,52.74
3/16/2016,XST.TO,52.75
3/17/2016,XST.TO,52.97
3/18/2016,XST.TO,51.86
3/21/2016,XST.TO,51.99
3/22/2016,XST.TO,51.85
3/23/2016,XST.TO,52.26
3/24/2016,XST.TO,52.45
3/28/2016,XST.TO,52.66
3/29/2016,XST.TO,52.51
3/30/2016,XST.TO,53.29
3/31/2016,XST.TO,52.89
4/1/2016,XST.TO,52.76
4/4/2016,XST.TO,52.73
4/5/2016,XST.TO,51.91
4/6/2016,XST.TO,51.16
4/7/2016,XST.TO,51.14
4/8/2016,XST.TO,51.31
4/11/2016,XST.TO,51.14
4/12/2016,XST.TO,50.95
4/13/2016,XST.TO,50.65
4/14/2016,XST.TO,50.98
4/15/2016,XST.TO,51.33
4/18/2016,XST.TO,51.34
4/19/2016,XST.TO,51.18
4/20/2016,XST.TO,51.85
4/21/2016,XST.TO,50.62
4/22/2016,XST.TO,50.4
4/25/2016,XST.TO,50.18
4/26/2016,XST.TO,50.07
4/27/2016,XST.TO,50.07
4/28/2016,XST.TO,50.23
4/29/2016,XST.TO,49.97
5/2/2016,XST.TO,50.42
5/3/2016,XST.TO,50.26
5/4/2016,XST.TO,50.8
5/5/2016,XST.TO,50.66
5/6/2016,XST.TO,50.64
5/9/2016,XST.TO,50.77
5/10/2016,XST.TO,51.28
5/11/2016,XST.TO,51.03
5/12/2016,XST.TO,50.96
5/13/2016,XST.TO,51.24
5/16/2016,XST.TO,51.88
5/17/2016,XST.TO,50.81
5/18/2016,XST.TO,50.76
5/19/2016,XST.TO,51.17
5/20/2016,XST.TO,51.86
5/24/2016,XST.TO,52.19
5/25/2016,XST.TO,52
5/26/2016,XST.TO,52.29
5/27/2016,XST.TO,52.36
5/30/2016,XST.TO,52.6
5/31/2016,XST.TO,52.27
6/1/2016,XST.TO,52.19
6/2/2016,XST.TO,52.47
6/3/2016,XST.TO,53
6/6/2016,XST.TO,52.55
6/7/2016,XST.TO,52.66
6/8/2016,XST.TO,52.32
6/9/2016,XST.TO,51.91
6/10/2016,XST.TO,51.2
6/13/2016,XST.TO,50.97
6/14/2016,XST.TO,50.7
6/15/2016,XST.TO,50.41
6/16/2016,XST.TO,50.38
6/17/2016,XST.TO,50.22
6/20/2016,XST.TO,50.33
6/21/2016,XST.TO,49.89
6/22/2016,XST.TO,49.78
6/23/2016,XST.TO,50.16
6/24/2016,XST.TO,49.65
6/27/2016,XST.TO,49.73
6/28/2016,XST.TO,50.64
6/29/2016,XST.TO,50.7
6/30/2016,XST.TO,50.71
7/4/2016,XST.TO,50.73
7/5/2016,XST.TO,51.04
7/6/2016,XST.TO,50.82
7/7/2016,XST.TO,50.67
7/8/2016,XST.TO,50.89
7/11/2016,XST.TO,51.82
7/12/2016,XST.TO,52.32
7/13/2016,XST.TO,52.79
7/14/2016,XST.TO,52.67
7/15/2016,XST.TO,52.41
7/18/2016,XST.TO,52.53
7/19/2016,XST.TO,52.99
7/20/2016,XST.TO,53.17
7/21/2016,XST.TO,53.04
7/22/2016,XST.TO,53.11
7/25/2016,XST.TO,53.16
7/26/2016,XST.TO,52.82
7/27/2016,XST.TO,53.46
7/28/2016,XST.TO,53.63
7/29/2016,XST.TO,53.36
8/2/2016,XST.TO,53.37
8/3/2016,XST.TO,53.55
8/4/2016,XST.TO,53.25
8/5/2016,XST.TO,53.78
8/8/2016,XST.TO,53.85
8/9/2016,XST.TO,54.35
8/10/2016,XST.TO,54.26
8/11/2016,XST.TO,54.48
8/12/2016,XST.TO,54.04
8/15/2016,XST.TO,54.05
8/16/2016,XST.TO,54.69
8/17/2016,XST.TO,54.84
8/18/2016,XST.TO,54.49
8/19/2016,XST.TO,54.15
8/22/2016,XST.TO,55.65
8/23/2016,XST.TO,55.54
8/24/2016,XST.TO,55.89
8/25/2016,XST.TO,55.48
8/26/2016,XST.TO,55.49
8/29/2016,XST.TO,55.5
8/30/2016,XST.TO,55.2
8/31/2016,XST.TO,55.43
9/1/2016,XST.TO,55.8
9/2/2016,XST.TO,56.13
9/6/2016,XST.TO,55.88
9/7/2016,XST.TO,55.11
9/8/2016,XST.TO,54.53
9/9/2016,XST.TO,53.69
9/12/2016,XST.TO,53.33
9/13/2016,XST.TO,53.06
9/14/2016,XST.TO,53.38
9/15/2016,XST.TO,53.96
9/16/2016,XST.TO,53.5
9/19/2016,XST.TO,53.57
9/20/2016,XST.TO,54.2
9/21/2016,XST.TO,54.3
9/22/2016,XST.TO,54.79
9/23/2016,XST.TO,54.53
9/26/2016,XST.TO,53.81
9/27/2016,XST.TO,54.04
9/28/2016,XST.TO,53.71
9/29/2016,XST.TO,53.53
9/30/2016,XST.TO,53.69
10/3/2016,XST.TO,53.35
10/4/2016,XST.TO,52.96
10/5/2016,XST.TO,53.05
10/6/2016,XST.TO,52.93
10/7/2016,XST.TO,52.83
10/11/2016,XST.TO,52.78
10/12/2016,XST.TO,53.46
10/13/2016,XST.TO,53.68
10/14/2016,XST.TO,53.68
10/17/2016,XST.TO,53.78
10/18/2016,XST.TO,54.17
10/19/2016,XST.TO,54.34
10/20/2016,XST.TO,54
10/21/2016,XST.TO,53.94
10/24/2016,XST.TO,54.22
10/25/2016,XST.TO,53.78
10/26/2016,XST.TO,53.99
10/27/2016,XST.TO,53.86
10/28/2016,XST.TO,54.06
10/31/2016,XST.TO,54.09
11/1/2016,XST.TO,54.02
11/2/2016,XST.TO,53.47
11/3/2016,XST.TO,53.23
11/4/2016,XST.TO,52.9
11/7/2016,XST.TO,53.3
11/8/2016,XST.TO,53.37
11/9/2016,XST.TO,53.18
11/10/2016,XST.TO,51.69
11/11/2016,XST.TO,51.28
11/14/2016,XST.TO,50.89
11/15/2016,XST.TO,51.68
11/16/2016,XST.TO,52.36
11/17/2016,XST.TO,52.93
11/18/2016,XST.TO,52.52
11/21/2016,XST.TO,52.81
11/22/2016,XST.TO,53.26
11/23/2016,XST.TO,53.27
11/24/2016,XST.TO,53.13
11/25/2016,XST.TO,53.2
11/28/2016,XST.TO,53.04
11/29/2016,XST.TO,53.52
11/30/2016,XST.TO,52.75
12/1/2016,XST.TO,51.75
12/2/2016,XST.TO,52.27
12/5/2016,XST.TO,52.12
12/6/2016,XST.TO,51.76
12/7/2016,XST.TO,52.42
12/8/2016,XST.TO,52.38
12/9/2016,XST.TO,52.83
12/12/2016,XST.TO,52.9
12/13/2016,XST.TO,53.27
12/14/2016,XST.TO,52.88
12/15/2016,XST.TO,52.68
12/16/2016,XST.TO,52.86
12/19/2016,XST.TO,52.78
12/20/2016,XST.TO,52.61
12/21/2016,XST.TO,52.7
12/22/2016,XST.TO,52.65
12/23/2016,XST.TO,52.58
12/28/2016,XST.TO,52.51
12/29/2016,XST.TO,52.82
12/30/2016,XST.TO,52.66
1/3/2017,XST.TO,52.42
1/4/2017,XST.TO,52.39
1/5/2017,XST.TO,52.46
1/6/2017,XST.TO,52.09
1/9/2017,XST.TO,52.24
1/10/2017,XST.TO,52.08
1/11/2017,XST.TO,51.99
1/12/2017,XST.TO,51.78
1/13/2017,XST.TO,52.45
1/16/2017,XST.TO,52.51
1/17/2017,XST.TO,52.75
1/18/2017,XST.TO,52.97
1/19/2017,XST.TO,52.74
1/20/2017,XST.TO,53.08
1/23/2017,XST.TO,52.78
1/24/2017,XST.TO,52.83
1/25/2017,XST.TO,52.75
1/26/2017,XST.TO,52.45
1/27/2017,XST.TO,52.36
1/30/2017,XST.TO,52.1
1/31/2017,XST.TO,51.88
2/1/2017,XST.TO,51.51
2/2/2017,XST.TO,51.39
2/3/2017,XST.TO,51.4
2/6/2017,XST.TO,51.08
2/7/2017,XST.TO,51.3
2/8/2017,XST.TO,51.6
2/9/2017,XST.TO,51.87
2/10/2017,XST.TO,52.32
2/13/2017,XST.TO,52.34
2/14/2017,XST.TO,52.25
2/15/2017,XST.TO,52.37
2/16/2017,XST.TO,52.39
2/17/2017,XST.TO,52.19
2/21/2017,XST.TO,52.61
2/22/2017,XST.TO,52.72
2/23/2017,XST.TO,53.23
2/24/2017,XST.TO,52.39
2/27/2017,XST.TO,52.22
2/28/2017,XST.TO,51.66
3/1/2017,XST.TO,52.19
3/2/2017,XST.TO,52.57
3/3/2017,XST.TO,52.72
3/6/2017,XST.TO,52.72
3/7/2017,XST.TO,52.6
3/8/2017,XST.TO,52.91
3/9/2017,XST.TO,52.84
3/10/2017,XST.TO,53.08
3/13/2017,XST.TO,53.28
3/14/2017,XST.TO,52.27
3/15/2017,XST.TO,52.67
3/16/2017,XST.TO,53.22
3/17/2017,XST.TO,53.06
3/20/2017,XST.TO,52.76
3/21/2017,XST.TO,52.9
3/22/2017,XST.TO,53.31
3/23/2017,XST.TO,53.64
3/24/2017,XST.TO,53.67
3/27/2017,XST.TO,54.05
3/28/2017,XST.TO,54.11
3/29/2017,XST.TO,53.93
3/30/2017,XST.TO,54.11
3/31/2017,XST.TO,54.03
4/3/2017,XST.TO,53.8
4/4/2017,XST.TO,53.9
4/5/2017,XST.TO,53.84
4/6/2017,XST.TO,53.71
4/7/2017,XST.TO,53.7
4/10/2017,XST.TO,54.03
4/11/2017,XST.TO,54.08
4/12/2017,XST.TO,54.29
4/13/2017,XST.TO,54.3
4/17/2017,XST.TO,54.9
4/18/2017,XST.TO,54.77
4/19/2017,XST.TO,54.31
4/20/2017,XST.TO,54.69
4/21/2017,XST.TO,54.88
4/24/2017,XST.TO,54.89
4/25/2017,XST.TO,55.8
4/26/2017,XST.TO,56.17
4/27/2017,XST.TO,56.39
4/28/2017,XST.TO,56.95
5/1/2017,XST.TO,56.76
5/2/2017,XST.TO,57.32
5/3/2017,XST.TO,56.82
5/4/2017,XST.TO,56.96
5/5/2017,XST.TO,57.61
5/8/2017,XST.TO,57.45
5/9/2017,XST.TO,57.21
5/10/2017,XST.TO,57.2
5/11/2017,XST.TO,56.61
5/12/2017,XST.TO,56.78
5/15/2017,XST.TO,57.07
5/16/2017,XST.TO,56.94
5/17/2017,XST.TO,55.92
5/18/2017,XST.TO,55.9
5/19/2017,XST.TO,56.35
5/23/2017,XST.TO,56.25
5/24/2017,XST.TO,56.17
5/25/2017,XST.TO,56.17
5/26/2017,XST.TO,55.97
5/29/2017,XST.TO,56.19
5/30/2017,XST.TO,56.33
5/31/2017,XST.TO,56.6
6/1/2017,XST.TO,56.87
6/2/2017,XST.TO,57.59
6/5/2017,XST.TO,57.38
6/6/2017,XST.TO,57.12
6/7/2017,XST.TO,56.86
6/8/2017,XST.TO,56.78
6/9/2017,XST.TO,56.16
6/12/2017,XST.TO,55.99
6/13/2017,XST.TO,55.93
6/14/2017,XST.TO,55.43
6/15/2017,XST.TO,55.58
6/16/2017,XST.TO,54.79
6/19/2017,XST.TO,54.92
6/20/2017,XST.TO,54.98
6/21/2017,XST.TO,55
6/22/2017,XST.TO,54.82
6/23/2017,XST.TO,54.58
6/26/2017,XST.TO,55.13
6/27/2017,XST.TO,55.48
6/28/2017,XST.TO,55.34
6/29/2017,XST.TO,54.61
6/30/2017,XST.TO,54.65
7/4/2017,XST.TO,54.41
7/5/2017,XST.TO,54.18
7/6/2017,XST.TO,53.43
7/7/2017,XST.TO,53.42
7/10/2017,XST.TO,53.51
7/11/2017,XST.TO,53.52
7/12/2017,XST.TO,54.24
7/13/2017,XST.TO,54.24
7/14/2017,XST.TO,54.24
7/17/2017,XST.TO,53.99
7/18/2017,XST.TO,53.82
7/19/2017,XST.TO,54.24
7/20/2017,XST.TO,54.31
7/21/2017,XST.TO,53.99
7/24/2017,XST.TO,53.84
7/25/2017,XST.TO,54.25
7/26/2017,XST.TO,53.65
7/27/2017,XST.TO,53.7
7/28/2017,XST.TO,53.1
7/31/2017,XST.TO,52.99
8/1/2017,XST.TO,53.12
8/2/2017,XST.TO,53.52
8/3/2017,XST.TO,53.28
8/4/2017,XST.TO,53.39
8/8/2017,XST.TO,53.4
8/9/2017,XST.TO,53.26
8/10/2017,XST.TO,53.1
8/11/2017,XST.TO,53.53
8/14/2017,XST.TO,54.13
8/15/2017,XST.TO,54.21
8/16/2017,XST.TO,54.11
8/17/2017,XST.TO,54.05
8/18/2017,XST.TO,53.67
8/21/2017,XST.TO,53.89
8/22/2017,XST.TO,53.99
8/23/2017,XST.TO,53.87
8/24/2017,XST.TO,53.44
8/25/2017,XST.TO,53.24
8/28/2017,XST.TO,53.09
8/29/2017,XST.TO,53.16
8/30/2017,XST.TO,53.37
8/31/2017,XST.TO,53.19
9/1/2017,XST.TO,52.66
9/5/2017,XST.TO,52.24
9/6/2017,XST.TO,52.59
9/7/2017,XST.TO,52.58
9/8/2017,XST.TO,52.31
9/11/2017,XST.TO,52.46
9/12/2017,XST.TO,52.51
9/13/2017,XST.TO,52.48
9/14/2017,XST.TO,53.08
9/15/2017,XST.TO,53.35
9/18/2017,XST.TO,53.33
9/19/2017,XST.TO,53.46
9/20/2017,XST.TO,53.53
9/21/2017,XST.TO,53.43
9/22/2017,XST.TO,53.27
9/25/2017,XST.TO,53.02
9/26/2017,XST.TO,52.71
9/27/2017,XST.TO,53.45
9/28/2017,XST.TO,53.38
9/29/2017,XST.TO,53.32
10/2/2017,XST.TO,53.7
10/3/2017,XST.TO,53.6
10/4/2017,XST.TO,54.03
10/5/2017,XST.TO,53.96
10/6/2017,XST.TO,53.96
10/10/2017,XST.TO,53.79
10/11/2017,XST.TO,53.85
10/12/2017,XST.TO,54.38
10/13/2017,XST.TO,54.49
10/16/2017,XST.TO,54.18
10/17/2017,XST.TO,54.04
10/18/2017,XST.TO,53.71
10/19/2017,XST.TO,53.75
10/20/2017,XST.TO,53.77
10/23/2017,XST.TO,54.04
10/24/2017,XST.TO,54.14
10/25/2017,XST.TO,54.09
10/26/2017,XST.TO,54.42
10/27/2017,XST.TO,54.58
10/30/2017,XST.TO,54.4
10/31/2017,XST.TO,54.22
11/1/2017,XST.TO,54.37
11/2/2017,XST.TO,54.83
11/3/2017,XST.TO,54.63
11/6/2017,XST.TO,54.61
11/7/2017,XST.TO,54.42
11/8/2017,XST.TO,55.02
11/9/2017,XST.TO,55.27
11/10/2017,XST.TO,55.64
11/13/2017,XST.TO,55.63
11/14/2017,XST.TO,55.61
11/15/2017,XST.TO,55.83
11/16/2017,XST.TO,55.43
11/17/2017,XST.TO,55.41
11/20/2017,XST.TO,55.58
11/21/2017,XST.TO,55.69
11/22/2017,XST.TO,55.63
11/23/2017,XST.TO,55.35
11/24/2017,XST.TO,55.54
11/27/2017,XST.TO,55.5
11/28/2017,XST.TO,55.66
11/29/2017,XST.TO,55.64
11/30/2017,XST.TO,55.9
12/1/2017,XST.TO,55.99
12/4/2017,XST.TO,55.88
12/5/2017,XST.TO,56
12/6/2017,XST.TO,56.5
12/7/2017,XST.TO,56.67
12/8/2017,XST.TO,56.53
12/11/2017,XST.TO,56.4
12/12/2017,XST.TO,56.71
12/13/2017,XST.TO,56.53
12/14/2017,XST.TO,56.24
12/15/2017,XST.TO,56.38
12/18/2017,XST.TO,56.7
12/19/2017,XST.TO,56.34
12/20/2017,XST.TO,56.03
12/21/2017,XST.TO,55.91
12/22/2017,XST.TO,55.83
12/27/2017,XST.TO,55.88
12/28/2017,XST.TO,55.83
12/29/2017,XST.TO,55.8
1/2/2018,XST.TO,55.71
1/3/2018,XST.TO,55.63
1/4/2018,XST.TO,55.8
1/5/2018,XST.TO,55.63
1/8/2018,XST.TO,55.51
1/9/2018,XST.TO,55.89
